stime,uid,etime,lat,lng,stated,grid
2016-09-05 13:38:07,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 13:38:07,26.63535531,106.6794683,0,23637
2016-09-05 13:41:04,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 13:41:04,26.6220071826,106.7165540634,0,22910
2016-09-05 14:41:06,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 16:24:24,26.6059813377,106.7315719188,1,21934
2016-09-05 17:24:26,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 23:24:35,26.59393867,106.7266975143,1,21443
2016-09-05 00:11:20,0359ffc582fe347b44084c90700b5315,2016-09-05 00:11:20,26.5871096325,106.6634940172,0,20939
2016-09-05 01:11:21,0359ffc582fe347b44084c90700b5315,2016-09-05 01:11:21,26.5915415654,106.6570899301,0,21182
2016-09-05 02:11:23,0359ffc582fe347b44084c90700b5315,2016-09-05 06:11:30,26.5871096325,106.6634940172,1,20939
2016-09-05 07:11:32,0359ffc582fe347b44084c90700b5315,2016-09-05 08:48:47,26.5905996499,106.6578508422,1,21183
2016-09-05 09:02:27,0359ffc582fe347b44084c90700b5315,2016-09-05 09:02:27,26.6000272432,106.6590628781,0,21673
2016-09-05 09:06:15,0359ffc582fe347b44084c90700b5315,2016-09-05 09:06:15,26.6000272432,106.6590628781,0,21673
2016-09-05 10:54:28,0359ffc582fe347b44084c90700b5315,2016-09-05 11:48:30,26.6056395052,106.6333100218,1,21912
